Time(s)	TrafficType	Size(Bytes)	numb_flow
0.50758	ftp	536	1
0.5123	ftp	536	1
0.51702	ftp	536	1
0.52174	ftp	536	1
0.52646	ftp	536	1
0.53118	ftp	536	1
0.5359	ftp	536	1
0.54062	ftp	536	1
0.54534	ftp	536	1
0.55006	ftp	536	1
0.55654	ftp	536	1
0.56126	ftp	536	1
0.563692	video	250	1
0.566124	video	250	1
0.570844	ftp	536	1
0.575564	ftp	536	1
0.580284	ftp	536	1
0.585004	ftp	536	1
0.587436	video	250	1
0.58874	video	51	1
0.591172	video	250	1
0.595892	ftp	536	1
0.600612	ftp	536	1
0.605332	ftp	536	1
0.610052	ftp	536	1
0.610948	video	58	1
0.613172	video	224	1
0.617892	ftp	536	1
0.622612	ftp	536	1
0.627332	ftp	536	1
0.632052	ftp	536	1
0.636772	ftp	536	1
0.641492	ftp	536	1
0.646212	ftp	536	1
0.650932	ftp	536	1
0.652188	video	103	1
0.65734	ftp	536	1
0.66206	ftp	536	1
0.66678	ftp	536	1
0.6715	ftp	536	1
0.67226	video	41	1
0.67314	video	56	1
0.673932	video	45	1
0.678652	ftp	536	1
0.683372	ftp	536	1
0.688092	ftp	536	1
0.692812	ftp	536	1
0.694092	video	106	1
0.698812	ftp	536	1
0.703532	ftp	536	1
0.708252	ftp	536	1
0.712972	ftp	536	1
0.714732	video	112	1
0.717164	video	250	1
0.721884	ftp	536	1
0.726604	ftp	536	1
0.731324	ftp	536	1
0.736044	ftp	536	1
0.736972	video	62	1
0.738252	video	106	1
0.742972	ftp	536	1
0.747692	ftp	536	1
0.752412	ftp	536	1
0.757132	ftp	536	1
0.758748	gaming	148	1
0.760244	video	133	1
0.76146	video	98	1
0.76618	ftp	536	1
0.7709	ftp	536	1
0.77562	ftp	536	1
0.78034	ftp	536	1
0.781092	video	40	1
0.785812	ftp	536	1
0.790532	ftp	536	1
0.795252	ftp	536	1
0.799972	ftp	536	1
0.800788	video	48	1
0.805508	ftp	536	1
0.810228	ftp	536	1
0.814948	ftp	536	1
0.819668	ftp	536	1
0.824388	ftp	536	1
0.829108	ftp	536	1
0.833828	ftp	536	1
0.838548	ftp	536	1
0.840228	gaming	156	2
0.844948	ftp	536	1
0.849668	ftp	536	1
0.851188	gaming	136	1
0.85174	voip	15	1
0.852292	voip	15	2
0.857012	ftp	536	1
0.861732	ftp	536	1
0.866452	ftp	536	1
0.871172	ftp	536	1
0.875892	ftp	536	1
0.880612	ftp	536	1
0.885332	ftp	536	1
0.890052	ftp	536	1
0.894772	ftp	536	1
0.899492	ftp	536	1
0.901156	gaming	154	1
0.902748	gaming	145	2
0.907468	ftp	536	1
0.912188	ftp	536	1
0.913012	video	49	1
0.917732	ftp	536	1
0.922452	ftp	536	1
0.92422	video	167	1
0.925548	video	112	1
0.930268	ftp	536	1
0.934988	ftp	536	1
0.93578	video	45	1
0.9405	ftp	536	1
0.94522	ftp	536	1
0.94994	ftp	536	1
0.950788	video	52	1
0.952484	gaming	158	1
0.957204	ftp	536	1
0.961924	ftp	536	1
0.963572	gaming	152	2
0.964372	video	46	1
0.966804	video	250	1
0.9679	video	83	1
0.97262	ftp	536	1
0.97734	ftp	536	1
0.978276	video	63	1
0.979084	video	47	1
0.980324	video	101	1
0.985044	ftp	536	1
0.989764	ftp	536	1
0.994484	ftp	536	1
0.999204	ftp	536	1
1.00002	video	48	1
1.00131	video	107	1
1.00251	video	96	1
1.00723	ftp	536	1
1.01195	ftp	536	1
1.01292	video	68	1
1.014	video	81	1
1.01556	gaming	141	1
1.02028	ftp	536	1
1.025	ftp	536	1
1.02592	video	61	1
1.02648	voip	15	1
1.02726	video	44	1
1.02781	voip	15	2
1.03253	ftp	536	1
1.03725	ftp	536	1
1.0386	gaming	115	2
1.04332	ftp	536	1
1.04804	ftp	536	1
1.05048	video	250	1
1.0552	ftp	536	1
1.05992	ftp	536	1
1.06196	video	202	1
1.06668	ftp	536	1
1.0714	ftp	536	1
1.07612	ftp	536	1
1.08084	ftp	536	1
1.08556	ftp	536	1
1.08645	gaming	57	1
1.09117	ftp	536	1
1.09589	ftp	536	1
1.09752	gaming	150	2
1.10224	ftp	536	1
1.10696	ftp	536	1
1.11168	ftp	536	1
1.1164	ftp	536	1
1.12112	ftp	536	1
1.12584	ftp	536	1
1.13056	ftp	536	1
1.13528	ftp	536	1
1.14	ftp	536	1
1.14472	ftp	536	1
1.14595	gaming	99	1
1.14782	gaming	180	2
1.15254	ftp	536	1
1.15726	ftp	536	1
1.15828	video	74	1
1.15905	video	42	1
1.16377	ftp	536	1
1.16849	ftp	536	1
1.16959	video	83	1
1.17431	ftp	536	1
1.17903	ftp	536	1
1.18375	ftp	536	1
1.18488	video	87	1
1.18643	video	140	1
1.18723	video	46	1
1.19195	ftp	536	1
1.19667	ftp	536	1
1.19722	voip	15	1
1.19777	voip	15	2
1.2002	video	250	1
1.20492	ftp	536	1
1.20964	ftp	536	1
1.21068	gaming	75	2
1.21164	video	67	1
1.21636	ftp	536	1
1.22108	ftp	536	1
1.22237	gaming	107	1
1.2234	video	74	1
1.22812	ftp	536	1
1.23284	ftp	536	1
1.23407	video	100	1
1.2365	video	250	1
1.24122	ftp	536	1
1.24594	ftp	536	1
1.24682	video	56	1
1.24759	video	42	1
1.2484	video	48	1
1.25312	ftp	536	1
1.25784	ftp	536	1
1.25868	video	51	1
1.26032	video	150	1
1.26187	video	140	1
1.26659	ftp	536	1
1.27131	ftp	536	1
1.2722	video	57	1
1.27371	gaming	135	1
1.27551	video	171	1
1.27649	video	69	1
1.28121	ftp	536	1
1.28593	ftp	536	1
1.28742	gaming	132	2
1.29214	ftp	536	1
1.29686	ftp	536	1
1.30158	ftp	536	1
1.3063	ftp	536	1
1.31102	ftp	536	1
1.31574	ftp	536	1
1.32046	ftp	536	1
1.32518	ftp	536	1
1.3299	ftp	536	1
1.33462	ftp	536	1
1.33934	ftp	536	1
1.34085	gaming	135	1
1.34209	gaming	101	2
1.34681	ftp	536	1
1.35153	ftp	536	1
1.35625	ftp	536	1
1.36097	ftp	536	1
1.36569	ftp	536	1
1.37041	ftp	536	1
1.37096	voip	15	1
1.37152	voip	15	2
1.37624	ftp	536	1
1.38096	ftp	536	1
1.38339	video	250	1
1.38445	video	79	1
1.38917	ftp	536	1
1.39389	ftp	536	1
1.39542	gaming	137	2
1.40014	ftp	536	1
1.40486	ftp	536	1
1.40632	video	128	1
1.40756	gaming	101	1
1.41228	ftp	536	1
1.417	ftp	536	1
1.42172	ftp	536	1
1.42253	video	48	1
1.42336	video	49	1
1.42427	video	60	1
1.42519	video	61	1
1.42991	ftp	536	1
1.43463	ftp	536	1
1.43546	video	50	1
1.43643	video	67	1
1.43719	video	41	1
1.44191	ftp	536	1
1.44663	ftp	536	1
1.44812	video	132	1
1.45284	ftp	536	1
1.45756	ftp	536	1
1.45999	video	250	1
1.46243	gaming	251	1
1.46399	gaming	141	2
1.46871	ftp	536	1
1.47343	ftp	536	1
1.47422	video	45	1
1.47665	video	250	1
1.4774	video	40	1
1.47816	video	40	1
1.48288	ftp	536	1
1.4876	ftp	536	1
1.48844	video	51	1
1.48933	video	58	1
1.49176	video	250	1
1.49648	ftp	536	1
1.5012	ftp	536	1
1.50228	video	81	1
1.507	ftp	536	1
1.51172	ftp	536	1
1.51283	gaming	84	2
1.51463	gaming	171	1
1.51935	ftp	536	1
1.52407	ftp	536	1
1.52879	ftp	536	1
1.53351	ftp	536	1
1.53406	voip	15	1
1.53461	voip	15	2
1.53933	ftp	536	1
1.54405	ftp	536	1
1.54877	ftp	536	1
1.55349	ftp	536	1
1.55821	ftp	536	1
1.56293	ftp	536	1
1.56765	ftp	536	1
1.56902	gaming	117	1
1.57374	ftp	536	1
1.57846	ftp	536	1
1.5799	gaming	126	2
1.58462	ftp	536	1
1.58934	ftp	536	1
1.59406	ftp	536	1
1.59878	ftp	536	1
1.60121	video	250	1
1.60308	video	179	1
1.6078	ftp	536	1
1.61252	ftp	536	1
1.61331	video	45	1
1.61457	video	104	1
1.61929	ftp	536	1
1.62401	ftp	536	1
1.62505	video	76	1
1.6268	gaming	165	1
1.6276	video	46	1
1.63232	ftp	536	1
1.63704	ftp	536	1
1.63792	video	56	1
1.6387	video	43	1
1.64095	gaming	227	2
1.6422	video	102	1
1.64692	ftp	536	1
1.65164	ftp	536	1
1.65407	video	250	1
1.65482	video	40	1
1.65954	ftp	536	1
1.66426	ftp	536	1
1.66898	ftp	536	1
1.67141	video	250	1
1.67232	video	60	1
1.67704	ftp	536	1
1.68176	ftp	536	1
1.68289	video	87	1
1.68761	ftp	536	1
1.69233	ftp	536	1
1.69339	video	78	1
1.69415	video	41	1
1.69887	ftp	536	1
1.70359	ftp	536	1
1.70555	gaming	191	2
1.70756	gaming	197	1
1.70866	video	84	1
1.71338	ftp	536	1
1.7181	ftp	536	1
1.71889	video	45	1
1.71944	voip	15	1
1.72	voip	15	2
1.7208	video	46	1
1.72167	video	55	1
1.72639	ftp	536	1
1.73111	ftp	536	1
1.73583	ftp	536	1
1.74055	ftp	536	1
1.74164	gaming	82	2
1.74636	ftp	536	1
1.75108	ftp	536	1
1.75244	gaming	117	1
1.75716	ftp	536	1
1.76188	ftp	536	1
1.7666	ftp	536	1
1.77132	ftp	536	1
1.77604	ftp	536	1
1.78076	ftp	536	1
1.78548	ftp	536	1
1.7902	ftp	536	1
1.79492	ftp	536	1
1.79694	gaming	198	2
1.80166	ftp	536	1
1.80638	ftp	536	1
1.8084	gaming	198	1
1.81312	ftp	536	1
1.81784	ftp	536	1
1.82027	video	250	1
1.82113	video	54	1
1.82585	ftp	536	1
1.83057	ftp	536	1
1.83148	video	59	1
1.83248	video	72	1
1.83335	video	54	1
1.83807	ftp	536	1
1.84279	ftp	536	1
1.84409	video	109	1
1.84881	ftp	536	1
1.85353	ftp	536	1
1.85433	video	46	1
1.85511	video	43	1
1.85648	gaming	118	2
1.85737	video	57	1
1.86209	ftp	536	1
1.86681	ftp	536	1
1.86844	video	149	1
1.86921	video	43	1
1.8714	gaming	219	1
1.87248	video	82	1
1.8772	ftp	536	1
1.88192	ftp	536	1
1.88345	video	137	1
1.884	voip	15	1
1.88476	voip	40	2
1.88561	video	53	1
1.88686	video	102	1
1.89158	ftp	536	1
1.8963	ftp	536	1
1.89873	video	250	1
1.90345	ftp	536	1
1.90817	ftp	536	1
1.91289	ftp	536	1
1.91364	voip	40	2
1.91448	video	51	1
1.91662	gaming	213	2
1.91905	video	250	1
1.92377	ftp	536	1
1.92849	ftp	536	1
1.93013	gaming	151	1
1.93112	video	70	1
1.93584	ftp	536	1
1.94056	ftp	536	1
1.94176	video	95	1
1.94251	voip	40	2
1.94723	ftp	536	1
1.95195	ftp	536	1
1.95667	ftp	536	1
1.96139	ftp	536	1
1.96214	voip	40	2
1.96686	ftp	536	1
1.97158	ftp	536	1
1.97274	gaming	91	2
1.97746	ftp	536	1
1.98218	ftp	536	1
1.98354	gaming	116	1
1.98429	voip	40	2
1.98901	ftp	536	1
1.99373	ftp	536	1
1.99845	ftp	536	1
2.00317	ftp	536	1
2.00789	ftp	536	1
2.01261	ftp	536	1
2.01336	voip	40	2
2.01808	ftp	536	1
2.0228	ftp	536	1
2.02752	ftp	536	1
2.03224	ftp	536	1
2.03696	ftp	536	1
2.03818	gaming	98	2
2.03911	video	62	1
2.03999	video	56	1
2.04074	voip	40	2
2.04546	ftp	536	1
2.05018	ftp	536	1
2.05288	gaming	283	1
2.05343	voip	15	1
2.05586	video	250	1
2.06058	ftp	536	1
2.0653	ftp	536	1
2.06711	video	172	1
2.07183	ftp	536	1
2.07655	ftp	536	1
2.0773	voip	40	2
2.07973	video	250	1
2.08072	video	69	1
2.08544	ftp	536	1
2.09016	ftp	536	1
2.09094	video	44	1
2.09307	video	212	1
2.09779	ftp	536	1
2.10251	ftp	536	1
2.1037	video	95	1
2.10452	video	48	1
2.10571	gaming	95	1
2.10673	video	74	1
2.10833	gaming	146	2
2.10908	voip	40	2
2.11074	video	153	1
2.11546	ftp	536	1
2.12018	ftp	536	1
2.12109	video	60	1
2.12581	ftp	536	1
2.13053	ftp	536	1
2.13132	video	44	1
2.13222	video	59	1
2.13297	voip	40	2
2.13769	ftp	536	1
2.14241	ftp	536	1
2.14416	video	164	1
2.14491	video	40	1
2.14584	video	62	1
2.1466	video	41	1
2.15132	ftp	536	1
2.15604	ftp	536	1
2.16076	ftp	536	1
2.16156	video	46	1
2.16231	voip	40	2
2.16392	gaming	147	1
2.16576	gaming	176	2
2.17048	ftp	536	1
2.1752	ftp	536	1
2.17992	ftp	536	1
2.18464	ftp	536	1
2.18539	voip	40	2
2.19011	ftp	536	1
2.19483	ftp	536	1
2.19955	ftp	536	1
2.20427	ftp	536	1
2.20502	voip	40	2
2.20974	ftp	536	1
2.21446	ftp	536	1
2.21501	voip	15	1
2.21715	gaming	213	1
2.21863	gaming	131	2
2.22335	ftp	536	1
2.22807	ftp	536	1
2.23279	ftp	536	1
2.23751	ftp	536	1
2.23826	voip	40	2
2.24298	ftp	536	1
2.2477	ftp	536	1
2.25013	video	250	1
2.25485	ftp	536	1
2.25957	ftp	536	1
2.26032	video	40	1
2.26108	voip	40	2
2.26236	video	107	1
2.2634	video	76	1
2.26812	ftp	536	1
2.27284	ftp	536	1
2.27756	ftp	536	1
2.27832	video	40	1
2.27961	gaming	108	2
2.28433	ftp	536	1
2.28905	ftp	536	1
2.28997	gaming	61	1
2.29083	video	53	1
2.29555	ftp	536	1
2.30027	ftp	536	1
2.30161	video	114	1
2.30236	voip	40	2
2.30444	video	205	1
2.30916	ftp	536	1
2.31388	ftp	536	1
2.31487	video	70	1
2.31959	ftp	536	1
2.32431	ftp	536	1
2.32528	video	67	1
2.32612	video	52	1
2.32688	voip	40	2
2.3316	ftp	536	1
2.33632	ftp	536	1
2.33761	video	108	1
2.33973	video	211	1
2.34052	video	44	1
2.34524	ftp	536	1
2.34996	ftp	536	1
2.35181	gaming	178	1
2.3526	video	45	1
2.35422	gaming	148	2
2.35665	video	250	1
2.3574	voip	40	2
2.36212	ftp	536	1
2.36684	ftp	536	1
2.36769	video	52	1
2.37241	ftp	536	1
2.37713	ftp	536	1
2.37802	video	57	1
2.37877	voip	40	2
2.38349	ftp	536	1
2.38821	ftp	536	1
2.38876	voip	15	1
2.39024	video	131	1
2.39237	video	212	1
2.39353	gaming	91	1
2.39825	ftp	536	1
2.40297	ftp	536	1
2.40769	ftp	536	1
2.40844	voip	40	2
2.41316	ftp	536	1
2.41788	ftp	536	1
2.41916	gaming	106	2
2.42388	ftp	536	1
2.4286	ftp	536	1
2.42936	voip	40	2
2.43408	ftp	536	1
2.4388	ftp	536	1
2.44352	ftp	536	1
2.44824	ftp	536	1
2.44946	gaming	99	1
2.45021	voip	40	2
2.45493	ftp	536	1
2.45965	ftp	536	1
2.46072	gaming	79	2
2.46544	ftp	536	1
2.47016	ftp	536	1
2.47488	ftp	536	1
2.4796	ftp	536	1
2.48035	voip	40	2
2.48507	ftp	536	1
2.48979	ftp	536	1
2.4915	video	160	1
2.49227	video	42	1
2.49699	ftp	536	1
2.50171	ftp	536	1
2.503	gaming	107	1
2.504	video	72	1
2.50476	voip	40	2
2.50661	video	178	1
2.51133	ftp	536	1
2.51605	ftp	536	1
2.52077	ftp	536	1
2.52212	gaming	114	2
2.52292	video	47	1
2.52764	ftp	536	1
2.53236	ftp	536	1
2.5348	video	250	1
2.53952	ftp	536	1
2.54424	ftp	536	1
2.54667	video	250	1
2.54742	voip	40	2
2.55214	ftp	536	1
2.55686	ftp	536	1
2.55785	video	70	1
2.5584	voip	15	1
2.55926	video	53	1
2.56002	video	41	1
2.56474	ftp	536	1
2.56946	ftp	536	1
2.57021	voip	40	2
2.57097	video	41	1
2.5723	video	112	1
2.57354	gaming	101	2
