Time(s)	TrafficType	Size(Bytes)
0.50758	ftp	536	
0.5123	ftp	536	
0.51702	ftp	536	
0.52174	ftp	536	
0.52646	ftp	536	
0.53118	ftp	536	
0.5359	ftp	536	
0.54062	ftp	536	
0.54534	ftp	536	
0.55006	ftp	536	
0.556108	ftp	536	
0.560828	ftp	536	
0.56326	video	250	
0.565692	video	250	
0.570412	ftp	536	
0.575132	ftp	536	
0.579852	ftp	536	
0.584572	ftp	536	
0.587004	video	250	
0.587844	video	51	
0.590276	video	250	
0.594996	ftp	536	
0.599716	ftp	536	
0.604436	ftp	536	
0.609156	ftp	536	
0.610052	video	58	
0.612276	video	224	
0.616996	ftp	536	
0.621716	ftp	536	
0.626436	ftp	536	
0.631156	ftp	536	
0.635876	ftp	536	
0.640596	ftp	536	
0.645316	ftp	536	
0.650036	ftp	536	
0.651292	video	103	
0.656444	ftp	536	
0.661164	ftp	536	
0.665884	ftp	536	
0.670604	ftp	536	
0.671364	video	41	
0.672244	video	56	
0.673036	video	45	
0.677756	ftp	536	
0.682476	ftp	536	
0.687196	ftp	536	
0.691916	ftp	536	
0.693196	video	106	
0.697916	ftp	536	
0.702636	ftp	536	
0.707356	ftp	536	
0.712076	ftp	536	
0.713404	video	112	
0.715836	video	250	
0.720556	ftp	536	
0.725276	ftp	536	
0.729996	ftp	536	
0.734716	ftp	536	
0.735644	video	62	
0.736924	video	106	
0.741644	ftp	536	
0.746364	ftp	536	
0.751084	ftp	536	
0.755804	ftp	536	
0.75742	gaming	148	
0.758916	video	133	
0.760132	video	98	
0.764852	ftp	536	
0.769572	ftp	536	
0.774292	ftp	536	
0.779012	ftp	536	
0.779764	video	40	
0.784484	ftp	536	
0.789204	ftp	536	
0.793924	ftp	536	
0.798644	ftp	536	
0.79946	video	48	
0.80418	ftp	536	
0.8089	ftp	536	
0.81362	ftp	536	
0.81834	ftp	536	
0.82306	ftp	536	
0.82778	ftp	536	
0.8325	ftp	536	
0.83722	ftp	536	
0.84194	ftp	536	
0.84666	ftp	536	
0.84818	gaming	136	
0.848732	voip	15	
0.853452	ftp	536	
0.858172	ftp	536	
0.862892	ftp	536	
0.867612	ftp	536	
0.872332	ftp	536	
0.877052	ftp	536	
0.881772	ftp	536	
0.886492	ftp	536	
0.891212	ftp	536	
0.895932	ftp	536	
0.897596	gaming	154	
0.902316	ftp	536	
0.907036	ftp	536	
0.90786	video	49	
0.91258	ftp	536	
0.9173	ftp	536	
0.919068	video	167	
0.923788	ftp	536	
0.928508	ftp	536	
0.929836	video	112	
0.930628	video	45	
0.935348	ftp	536	
0.940068	ftp	536	
0.944788	ftp	536	
0.945636	video	52	
0.947332	gaming	158	
0.952052	ftp	536	
0.956772	ftp	536	
0.957572	video	46	
0.960004	video	250	
0.964724	ftp	536	
0.969444	ftp	536	
0.97054	video	83	
0.971476	video	63	
0.972284	video	47	
0.977004	ftp	536	
0.981724	ftp	536	
0.982964	video	101	
0.987684	ftp	536	
0.992404	ftp	536	
0.99322	video	48	
0.994508	video	107	
0.999228	ftp	536	
1.00395	ftp	536	
1.00515	video	96	
1.00612	video	68	
1.0072	video	81	
1.00876	gaming	141	
1.01348	ftp	536	
1.0182	ftp	536	
1.01912	video	61	
1.01968	voip	15	
1.02046	video	44	
1.02518	ftp	536	
1.0299	ftp	536	
1.03462	ftp	536	
1.03934	ftp	536	
1.04177	video	250	
1.04649	ftp	536	
1.05121	ftp	536	
1.05326	video	202	
1.05798	ftp	536	
1.0627	ftp	536	
1.06742	ftp	536	
1.07214	ftp	536	
1.07686	ftp	536	
1.07775	gaming	57	
1.08247	ftp	536	
1.08719	ftp	536	
1.09191	ftp	536	
1.09663	ftp	536	
1.10135	ftp	536	
1.10607	ftp	536	
1.11079	ftp	536	
1.11551	ftp	536	
1.12023	ftp	536	
1.12495	ftp	536	
1.12967	ftp	536	
1.13439	ftp	536	
1.13911	ftp	536	
1.14383	ftp	536	
1.14505	gaming	99	
1.14977	ftp	536	
